Image Name,Overlay Intensity,Image Overlay Transparency Level,Overlay Color Scheme,Icon Size,Icon Consistency,Icon Relevance to Content,Text Font Style,Text Font Size,Text Hierarchy Consistency,Color Scheme,Contrast Ratio,Color Consistency,Relevance of Content,Content Organization,Amount of Content,Text Contrast,Font Legibility,Readability Level,Ease of use,Satisfaction,helpfulness,Visual appeal,Usability Score,Accessibility Score
bad (31).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (32).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (33).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (34).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (35).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (36).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (37).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,33.8,36.5
bad (38).png,Low,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,High,Low,Illegible,Poor,neutral,neutral,helpful,poor,18.8,43.5
bad (39).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (40).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,easy,neutral,helpful,poor,12.05,54
bad (41).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (42).png,High,Opaque,Excellent,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,very easy,very satisfied,very helpful,excellent,40.1,93
bad (43).png,High,Opaque,Excellent,Small,Consistent,Relevant,Good,Small,Consistent,Good,Moderate,Consistent,Highly Relevant,Well-Organized,Low,Moderate,Legible,Good,neutral,neutral,neutral,good,74.25,51.5
bad (44).png,High,Opaque,Excellent,Medium,Consistent,Relevant,Good,Medium,Consistent,Good,High,Consistent,Highly Relevant,Well-Organized,Moderate,High,Legible,Excellent,easy,satisfied,helpful,good,83.25,75
bad (45).png,High,Opaque,Excellent,Small,Consistent,Relevant,Good,Medium,Consistent,Good,Moderate,Consistent,Highly Relevant,Well-Organized,Moderate,High,Legible,Good,neutral,neutral,neutral,poor,77.35,36.5
bad (46).png,High,Opaque,Excellent,Medium,Consistent,Relevant,Good,Medium,Consistent,Good,Moderate,Consistent,Highly Relevant,Well-Organized,Moderate,Moderate,Legible,Good,neutral,neutral,neutral,poor,76.65,36.5
bad (47).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,33.8,36.5
bad (48).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (49).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (50).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (51).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (52).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (53).png,High,Opaque,Poor,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Moderate,Low,Illegible,Poor,neutral,neutral,neutral,good,21.65,51.5
bad (54).png,High,Opaque,Poor,Medium,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,34.1,36.5
bad (55).png,High,Opaque,Poor,None,None,None,Poor,Large,None,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,very easy,satisfied,helpful,poor,23.075,64.5
bad (56).png,High,Opaque,Poor,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,21.35,36.5
bad (57).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (58).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (59).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (60).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,33.8,36.5
bad (61).png,High,Opaque,Poor,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,very difficult,very dissatisfied,very unhelpful,very poor,13.7,8
bad (62).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (63).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (64).png,High,Opaque,Poor,Small,Inconsistent,Somewhat Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Moderate,Low,Illegible,Poor,easy,neutral,helpful,good,23,69
bad (65).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Moderate,Low,Illegible,Poor,neutral,neutral,neutral,poor,34.1,36.5
bad (66).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (67).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (68).png,High,Opaque,Poor,Medium,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.75,36.5
bad (69).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (70).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (71).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,very difficult,very dissatisfied,very unhelpful,very poor,11.45,8
bad (72).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,helpful,poor,33.8,43.5
bad (73).png,Low,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,18.8,36.5
bad (74).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (75).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (76).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (77).png,High,Opaque,Good,Medium,Consistent,Relevant,Good,Medium,Consistent,Good,Moderate,Consistent,Highly Relevant,Well-Organized,Moderate,Moderate,Legible,Good,easy,satisfied,helpful,good,74.55,75
bad (78).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (79).png,None,None,None,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Legible,Poor,neutral,neutral,neutral,poor,21.95,36.5
bad (80).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (81).png,None,None,None,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,7.85,36.5
bad (82).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (83).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (84).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (85).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (86).png,High,Opaque,Excellent,Small,Consistent,Relevant,Good,Small,Consistent,Good,High,Consistent,Highly Relevant,Well-Organized,Moderate,High,Legible,Good,neutral,neutral,neutral,poor,77.95,36.5
bad (87).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (88).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,very difficult,very dissatisfied,very unhelpful,very poor,12.05,8
bad (89).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (90).png,High,Opaque,Excellent,None,None,None,None,None,None,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,very difficult,very dissatisfied,very unhelpful,very poor,21.5,8
bad (91).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (92).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (93).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (94).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (95).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (96).png,Low,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,10.55,36.5
bad (97).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (98).png,High,Opaque,Poor,Large,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.65,36.5
bad (99).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (100).png,Low,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,10.55,36.5
bad (101).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (102).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (103).png,None,None,None,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Legible,Poor,neutral,neutral,neutral,poor,21.95,36.5
bad (104).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,33.8,36.5
bad (105).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,33.8,36.5
bad (106).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,good,19.1,51.5
bad (107).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (108).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,19.1,36.5
bad (109).png,None,None,None,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Legible,Poor,difficult,dissatisfied,unhelpful,poor,21.95,24
bad (110).png,High,Opaque,Excellent,None,None,None,Excellent,Large,None,Excellent,High,Consistent,Highly Relevant,Well-Organized,Low,High,Legible,Excellent,neutral,neutral,neutral,poor,70.275,36.5
bad (111).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (112).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (113).png,Moderate,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.6,36.5
bad (114).png,Moderate,Semi-Transparent,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.1,36.5
bad (115).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (116).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (117).png,None,None,None,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,10.1,36.5
bad (118).png,High,Opaque,Poor,Medium,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,34.1,36.5
bad (119).png,High,Opaque,Poor,Medium,Consistent,Relevant,Poor,Medium,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Legible,Poor,neutral,neutral,helpful,poor,40.1,43.5
bad (120).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (121).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
